# secret s0 s1 first_cycle_of_this_triple
c7 bd 7a 10385
11 0f 1e 10401
e9 58 b1 10417
f5 ac 59 10433
ac 64 c8 10449
d2 b1 63 10465
94 73 e7 10481
ec a4 48 10497
45 c3 86 10513
11 0f 1e 10529
0e 05 0b 10545
61 df be 10561
92 71 e3 10577
87 82 05 10593
5a c9 93 10609
21 e0 c1 10625
cd 44 89 10641
f0 af 5f 10657
94 73 e7 10673
85 83 06 10689
dd 4b 96 10705
eb a6 4d 10721
73 2e 5d 10737
14 0c 18 10753
18 f7 ef 10769
24 1c 38 10785
af 9a 35 10801
7e 2a 54 10817
9d 8b 16 10833
7a 29 53 10849
28 e7 cf 10865
38 e8 d0 10881
40 3f 7f 10897
e2 a1 43 10913
6f da b5 10929
ac 9b 37 10945
a3 9e 3d 10961
1e 0a 14 10977
40 c0 80 10993
9d 8b 16 11009
fe 55 ab 11025
7b d6 ad 11041
cb 46 8d 11057
e3 a1 42 11073
31 ef de 11089
aa 99 33 11105
f8 a8 50 11121
f2 51 a3 11137
89 78 f1 11153
0b 06 0d 11169
9f 8a 15 11185
2c 1b 37 11201
32 11 23 11217
04 03 07 11233
a9 98 31 11249
93 71 e2 11265
bf 95 2a 11281
d4 4c 98 11297
f8 a8 50 11313
b3 6e dd 11329
87 7d fa 11345
af 9a 35 11361
b0 90 20 11377
6a d9 b3 11393
59 37 6e 11409
e1 a0 41 11425
0b 06 0d 11441
36 ed db 11457
01 00 01 11473
c2 be 7c 11489
f6 ad 5b 11505
16 f2 e4 11521
d7 4d 9a 11537
78 28 50 11553
f8 57 af 11569
b9 68 d1 11585
87 7d fa 11601
7a 29 53 11617
e4 a3 47 11633
d1 4f 9e 11649
87 82 05 11665
ca 46 8c 11681
93 71 e2 11697
5d cb 96 11713
98 77 ef 11729
6d db b6 11745
e0 a0 40 11761
af 9a 35 11777
23 e1 c2 11793
0d 04 09 11809
cb 46 8d 11825
82 81 03 11841
e7 a2 45 11857
24 1c 38 11873
5f ca 95 11889
6f 25 4a 11905
11 0f 1e 11921
7f 2a 55 11937
3a e9 d3 11953
7f d5 aa 11969
17 0d 1a 11985
ee 5a b4 12001
0a 06 0c 12017
d9 48 91 12033
1f 0a 15 12049
e8 58 b0 12065
98 88 10 12081
fa a9 53 12097
97 72 e5 12113
99 88 11 12129
40 3f 7f 12145
7a 29 53 12161
83 7e fd 12177
a0 60 c0 12193
44 c3 87 12209
50 30 60 12225
1a 09 13 12241
06 02 04 12257
98 77 ef 12273
e1 a0 41 12289
79 28 51 12305
5a 36 6c 12321
a3 61 c2 12337
31 ef de 12353
43 3e 7d 12369
57 32 65 12385
16 0d 1b 12401
e3 5e bd 12417
4a 39 73 12433
df b5 6a 12449
90 8f 1f 12465
27 e2 c5 12481
5e ca 94 12497
d8 48 90 12513
cd bb 76 12529
b5 93 26 12545
98 77 ef 12561
ab 99 32 12577
8b 86 0d 12593
34 ec d8 12609
6a 26 4c 12625
71 2f 5e 12641
ca b9 73 12657
4b c6 8d 12673
3c 14 28 12689
c7 42 85 12705
b7 92 25 12721
af 65 ca 12737
c2 41 83 12753
3f ea d5 12769
2f 1a 35 12785
63 de bd 12801
1a f6 ec 12817
df b5 6a 12833
34 ec d8 12849
44 c3 87 12865
9f 8a 15 12881
6e da b4 12897
8d 7b f6 12913
10 0f 1f 12929
d5 4c 99 12945
8a 86 0c 12961
75 d3 a6 12977
b1 6f de 12993
40 c0 80 13009
03 01 02 13025
1d 0b 16 13041
b4 6c d8 13057
82 7e fc 13073
a2 9e 3c 13089
2c 1b 37 13105
d2 4e 9c 13121
c4 43 87 13137
71 d0 a1 13153
d9 b7 6e 13169
75 2c 59 13185
27 1d 3a 13201
56 cd 9b 13217
66 dd bb 13233
b7 92 25 13249
cf ba 75 13265
61 20 41 13281
cd bb 76 13297
17 0d 1a 13313
49 c7 8e 13329
6b 26 4d 13345
0c fb f7 13361
30 10 20 13377
f0 50 a0 13393
69 d8 b1 13409
c7 bd 7a 13425
8a 79 f3 13441
7b 29 52 13457
16 0d 1b 13473
e4 a3 47 13489
97 8d 1a 13505
72 d1 a3 13521
c6 42 84 13537
63 21 42 13553
35 ec d9 13569
c1 bf 7e 13585
4c c4 88 13601
21 1f 3e 13617
e2 a1 43 13633
86 7d fb 13649
87 7d fa 13665
c6 bd 7b 13681
b8 68 d0 13697
54 cc 98 13713
70 d0 a0 13729
68 27 4f 13745
ee 5a b4 13761
6e 25 4b 13777
58 c8 90 13793
a2 61 c3 13809
31 ef de 13825
5e 35 6b 13841
ff 55 aa 13857
79 28 51 13873
f5 53 a6 13889
60 df bf 13905
93 8e 1d 13921
06 02 04 13937
06 02 04 13953
ba 69 d3 13969
16 f2 e4 13985
94 8c 18 14001
15 f3 e6 14017
71 d0 a1 14033
91 70 e1 14049
0c 04 08 14065
16 0d 1b 14081
52 31 63 14097
3a 16 2c 14113
52 31 63 14129
66 22 44 14145
98 77 ef 14161
85 83 06 14177
86 7d fb 14193
4d 3b 76 14209
32 11 23 14225
7b d6 ad 14241
f1 af 5e 14257
6d db b6 14273
43 c1 82 14289
f6 52 a4 14305
80 7f ff 14321
f8 57 af 14337
ef a5 4a 14353
77 2d 5a 14369
65 23 46 14385
1c 0b 17 14401
6e da b4 14417
9e 8a 14 14433
a4 9c 38 14449
9f 75 ea 14465
8b 79 f2 14481
11 f0 e1 14497
e5 a3 46 14513
b3 91 22 14529
6d 24 49 14545
d3 b1 62 14561
20 e0 c0 14577
fa a9 53 14593
0d fb f6 14609
ba 69 d3 14625
83 81 02 14641
8a 79 f3 14657
73 2e 5d 14673
84 7c f8 14689
3d eb d6 14705
4d c4 89 14721
5c cb 97 14737
da b6 6c 14753
c5 43 86 14769
6a 26 4c 14785
b8 68 d0 14801
06 02 04 14817
55 33 66 14833
a7 9d 3a 14849
fe 55 ab 14865
9f 8a 15 14881
38 e8 d0 14897
f1 af 5e 14913
a5 63 c6 14929
71 d0 a1 14945
bc 6b d7 14961
51 30 61 14977
ae 65 cb 14993
bc 6b d7 15009
8d 84 09 15025
1c 0b 17 15041
77 2d 5a 15057
35 ec d9 15073
d1 b0 61 15089
ef a5 4a 15105
b9 97 2e 15121
44 c3 87 15137
fb 56 ad 15153
80 7f ff 15169
39 e8 d1 15185
9a 89 13 15201
59 c8 91 15217
0c 04 08 15233
4f 3a 75 15249
0c 04 08 15265
57 cd 9a 15281
6d db b6 15297
d0 4f 9f 15313
03 fe fd 15329
52 31 63 15345
39 17 2e 15361
c2 be 7c 15377
28 18 30 15393
cc 44 88 15409
a2 61 c3 15425
d8 b7 6f 15441
8a 79 f3 15457
d4 b3 67 15473
d5 b3 66 15489
22 1e 3c 15505
2c e4 c8 15521
78 d7 af 15537
ba 69 d3 15553
68 27 4f 15569
a6 62 c4 15585
c5 43 86 15601
97 8d 1a 15617
87 7d fa 15633
06 fd fb 15649
3e 15 2b 15665
1e f5 eb 15681
45 c3 86 15697
fc 54 a8 15713
33 ee dd 15729
f9 a8 51 15745
47 c2 85 15761
dc b4 68 15777
b8 97 2f 15793
b9 68 d1 15809
31 10 21 15825
c4 bc 78 15841
9a 89 13 15857
02 fe fc 15873
4f 3a 75 15889
1d 0b 16 15905
ac 9b 37 15921
f6 ad 5b 15937
25 e3 c6 15953
3d 14 29 15969
a2 61 c3 15985
0d fb f6 16001
9e 75 eb 16017
52 31 63 16033
1c f4 e8 16049
5d cb 96 16065
49 c7 8e 16081
ab 66 cd 16097
59 37 6e 16113
5f 35 6a 16129
f7 ad 5a 16145
a0 9f 3f 16161
3a 16 2c 16177
76 2d 5b 16193
0b f9 f2 16209
0a 06 0c 16225
47 3d 7a 16241
a5 9c 39 16257
a7 9d 3a 16273
39 e8 d1 16289
14 f3 e7 16305
d5 b3 66 16321
7d 2b 56 16337
04 fc f8 16353
df b5 6a 16369
58 c8 90 16385
91 70 e1 16401
0b f9 f2 16417
31 ef de 16433
a3 61 c2 16449
df 4a 95 16465
c5 43 86 16481
4e c5 8b 16497
9b 76 ed 16513
e0 5f bf 16529
57 32 65 16545
48 c7 8f 16561
5d 34 69 16577
00 00 00 16593
d6 4d 9b 16609
d1 4f 9e 16625
3d 14 29 16641
1d 0b 16 16657
8f 7a f5 16673
e9 58 b1 16689
40 3f 7f 16705
af 9a 35 16721
93 8e 1d 16737
ef a5 4a 16753
be 95 2b 16769
82 81 03 16785
40 c0 80 16801
c4 43 87 16817
e4 a3 47 16833
30 ef df 16849
57 32 65 16865
63 21 42 16881
f3 ae 5d 16897
07 fd fa 16913
21 e0 c1 16929
15 0c 19 16945
0c fb f7 16961
19 08 11 16977
d0 4f 9f 16993
4e 3a 74 17009
85 7c f9 17025
7d 2b 56 17041
a2 9e 3c 17057
31 10 21 17073
c9 b8 71 17089
f5 ac 59 17105
a7 62 c5 17121
c2 41 83 17137
88 87 0f 17153
32 ee dc 17169
00 ff ff 17185
c1 bf 7e 17201
f1 50 a1 17217
80 7f ff 17233
ce 45 8b 17249
61 20 41 17265
a9 98 31 17281
63 de bd 17297
34 13 27 17313
6c db b7 17329
75 2c 59 17345
4f c5 8a 17361
9b 89 12 17377
10 f0 e0 17393
50 30 60 17409
2a e6 cc 17425
5d 34 69 17441
e1 a0 41 17457
17 f2 e5 17473
db 49 92 17489
df 4a 95 17505
0a f9 f3 17521
7a 29 53 17537
c4 43 87 17553
bc 6b d7 17569
50 30 60 17585
8b 86 0d 17601
a3 9e 3d 17617
29 e7 ce 17633
34 ec d8 17649
05 fc f9 17665
39 e8 d1 17681
3a e9 d3 17697
a0 9f 3f 17713
a8 67 cf 17729
ad 64 c9 17745
46 3d 7b 17761
20 e0 c0 17777
ea a6 4c 17793
8b 79 f2 17809
c0 bf 7f 17825
00 00 00 17841
4b 39 72 17857
b1 6f de 17873
61 df be 17889
7e d5 ab 17905
af 65 ca 17921
80 80 00 17937
d5 4c 99 17953
8b 86 0d 17969
d3 4e 9d 17985
12 f1 e3 18001
7e d5 ab 18017
54 cc 98 18033
e8 58 b0 18049
5e ca 94 18065
e5 a3 46 18081
26 e2 c4 18097
e5 a3 46 18113
0e 05 0b 18129
3f 15 2a 18145
f6 52 a4 18161
de 4a 94 18177
a3 9e 3d 18193
64 23 47 18209
36 ed db 18225
a3 61 c2 18241
9c 74 e8 18257
ff aa 55 18273
63 de bd 18289
d4 b3 67 18305
e8 58 b0 18321
ce ba 74 18337
ea a6 4c 18353
a1 60 c1 18369
03 fe fd 18385
d5 4c 99 18401
27 e2 c5 18417
7e d5 ab 18433
62 de bc 18449
49 c7 8e 18465
b3 6e dd 18481
a8 98 30 18497
3d eb d6 18513
7f 2a 55 18529
43 3e 7d 18545
06 fd fb 18561
b2 91 23 18577
45 c3 86 18593
8e 85 0b 18609
1c 0b 17 18625
49 c7 8e 18641
7e d5 ab 18657
11 0f 1e 18673
3c eb d7 18689
c1 bf 7e 18705
e1 a0 41 18721
c3 be 7d 18737
ef 5a b5 18753
f8 a8 50 18769
51 30 61 18785
9c 8b 17 18801
45 3c 79 18817
3c 14 28 18833
6a 26 4c 18849
0d 04 09 18865
94 73 e7 18881
1f 0a 15 18897
c4 bc 78 18913
91 8f 1e 18929
85 7c f9 18945
34 ec d8 18961
ac 64 c8 18977
d9 48 91 18993
8f 85 0a 19009
35 13 26 19025
98 77 ef 19041
3a e9 d3 19057
64 23 47 19073
0d 04 09 19089
a1 9f 3e 19105
06 fd fb 19121
a1 60 c1 19137
7d d4 a9 19153
d1 b0 61 19169
9e 75 eb 19185
df b5 6a 19201
92 8e 1c 19217
e4 5c b8 19233
b5 6c d9 19249
2d 1b 36 19265
b1 6f de 19281
90 70 e0 19297
33 11 22 19313
d5 4c 99 19329
ae 9a 34 19345
ac 9b 37 19361
b4 6c d8 19377
2e e5 cb 19393
44 c3 87 19409
78 d7 af 19425
46 c2 84 19441
9f 75 ea 19457
bd 94 29 19473
87 82 05 19489
9c 74 e8 19505
17 f2 e5 19521
16 0d 1b 19537
c4 bc 78 19553
05 fc f9 19569
2a e6 cc 19585
c3 41 82 19601
0e 05 0b 19617
f2 51 a3 19633
d9 b7 6e 19649
9e 75 eb 19665
64 dc b8 19681
db 49 92 19697
5d 34 69 19713
8b 86 0d 19729
e7 a2 45 19745
62 21 43 19761
3b 16 2d 19777
54 33 67 19793
b2 6e dc 19809
af 9a 35 19825
0e fa f4 19841
73 d1 a2 19857
fa 56 ac 19873
a8 98 30 19889
47 3d 7a 19905
45 3c 79 19921
79 28 51 19937
f1 af 5e 19953
33 ee dd 19969
ea 59 b3 19985
c2 be 7c 20001
0a f9 f3 20017
40 c0 80 20033
60 20 40 20049
34 ec d8 20065
46 c2 84 20081
7b d6 ad 20097
fe 55 ab 20113
52 ce 9c 20129
f5 ac 59 20145
ce 45 8b 20161
e8 58 b0 20177
9d 74 e9 20193
52 ce 9c 20209
60 20 40 20225
df 4a 95 20241
c9 47 8e 20257
bd 94 29 20273
39 e8 d1 20289
35 ec d9 20305
d6 4d 9b 20321
12 0e 1c 20337
4f c5 8a 20353
0e 05 0b 20369
9f 75 ea 20385
5e 35 6b 20401
af 9a 35 20417
31 10 21 20433
33 ee dd 20449
61 20 41 20465
08 f8 f0 20481
b3 6e dd 20497
db b6 6d 20513
f0 af 5f 20529
f2 51 a3 20545
ae 65 cb 20561
77 2d 5a 20577
81 7f fe 20593
45 c3 86 20609
c9 47 8e 20625
29 18 31 20641
a9 67 ce 20657
80 80 00 20673
91 8f 1e 20689
15 f3 e6 20705
de b5 6b 20721
7a d6 ac 20737
2a 19 33 20753
7c 2b 57 20769
0b f9 f2 20785
df 4a 95 20801
90 8f 1f 20817
13 0e 1d 20833
0c 04 08 20849
5f ca 95 20865
de 4a 94 20881
ea 59 b3 20897
27 e2 c5 20913
1c 0b 17 20929
03 fe fd 20945
fc ab 57 20961
c3 41 82 20977
49 c7 8e 20993
ed 5b b6 21009
95 8c 19 21025
36 12 24 21041
70 2f 5f 21057
ed 5b b6 21073
41 c0 81 21089
fb 56 ad 21105
4e c5 8b 21121
8f 7a f5 21137
c1 40 81 21153
f9 a8 51 21169
bb 96 2d 21185
8d 84 09 21201
ac 64 c8 21217
ce 45 8b 21233
43 3e 7d 21249
c0 40 80 21265
f7 52 a5 21281
c2 41 83 21297
a5 9c 39 21313
1a f6 ec 21329
61 20 41 21345
84 83 07 21361
bb 69 d2 21377
f0 50 a0 21393
e0 a0 40 21409
