# secret s0 s1 s2 first_cycle_of_this_triple
49 18 30 61 7345
9c 84 08 10 7361
bb 3e 7c f9 7377
c8 2e 5d bb 7393
19 de bd 7a 7409
0e d9 b2 65 7425
35 d1 a3 47 7441
77 11 22 44 7457
23 60 c1 82 7473
06 b7 6f de 7489
9f e9 d2 a4 7505
72 10 21 43 7521
67 a1 42 84 7537
38 65 cb 96 7553
91 86 0d 1a 7569
e7 97 2f 5f 7585
3b 08 11 22 7601
e8 23 46 8d 7617
4b 18 31 62 7633
cc 2f 5e bd 7649
c1 f6 ed da 7665
23 d6 ac 59 7681
98 33 66 cd 7697
fe 49 92 25 7713
07 01 02 04 7729
36 d1 a2 45 7745
f1 90 20 41 7761
fa 93 27 4e 7777
24 d7 ae 5d 7793
ca f5 ea d5 7809
12 b0 61 c3 7825
fc 49 93 26 7841
bb 3e 7c f9 7857
23 bb 77 ef 7873
ef 22 44 89 7889
91 30 60 c1 7905
c6 41 82 05 7921
73 cb 97 2f 7937
46 c1 82 05 7953
d6 2a 54 a8 7969
bb e5 ca 94 7985
a4 e1 c3 86 8001
e7 fa f4 e9 8017
51 ab 56 ac 8033
46 77 ef de 8049
38 08 10 20 8065
4f 19 32 64 8081
7d 12 25 4a 8097
f1 26 4d 9a 8113
86 ec d9 b3 8129
46 1a 34 68 8145
06 da b4 68 8161
4d c2 85 0a 8177
84 37 6e dd 8193
19 68 d0 a1 8209
4a 75 ea d5 8225
8e 82 04 08 8241
a9 38 70 e1 8257
f6 fc f9 f3 8273
86 5a b4 68 8289
49 18 30 61 8305
2d d4 a8 51 8321
c8 f5 eb d6 8337
56 1c 39 73 8353
b0 50 a0 40 8369
b5 e7 ce 9c 8385
aa 8e 1c 38 8401
f3 26 4c 99 8417
6e cf 9f 3e 8433
ca 98 31 63 8449
88 35 6b d6 8465
9a 33 67 ce 8481
58 73 e6 cd 8497
46 ac 59 b3 8513
11 b0 60 c1 8529
5d 1f 3e 7c 8545
84 ec d8 b0 8561
49 18 30 61 8577
52 70 e1 c3 8593
c1 9b 36 6c 8609
35 bc 78 f1 8625
19 de bd 7a 8641
ee 94 29 53 8657
ab 8e 1c 39 8673
12 06 0c 18 8689
45 c1 83 07 8705
1d df be 7c 8721
02 00 01 03 8737
38 be 7d fb 8753
f6 27 4f 9e 8769
5b a8 51 a2 8785
1c df be 7d 8801
4d c2 85 0a 8817
d6 f1 e2 c5 8833
6a ce 9c 38 8849
e4 4c 98 30 8865
71 10 20 41 8881
48 ae 5d bb 8897
ea 95 2a 55 8913
94 5c b8 70 8929
7b 13 27 4f 8945
90 86 0d 1b 8961
b9 53 a6 4c 8977
58 73 e6 cd 8993
d9 9e 3d 7a 9009
ef 22 44 89 9025
7a 7e fc f8 9041
bb e5 ca 94 9057
6c 79 f3 e6 9073
47 ac 59 b2 9089
80 36 6d db 9105
f6 91 22 45 9121
e4 fa f5 eb 9137
4c 19 33 66 9153
05 01 03 07 9169
7b c8 91 22 9185
52 c6 8c 18 9201
99 85 0b 17 9217
12 6b d7 ae 9233
b6 8a 14 28 9249
b1 50 a0 41 9265
b2 50 a1 43 9281
9a e8 d1 a3 9297
45 1a 35 6a 9313
43 1b 37 6f 9329
8c 34 68 d0 9345
7c 12 25 4b 9361
06 da b4 68 9377
4c 74 e8 d0 9393
03 b6 6c d9 9409
0d 6f de bc 9425
f8 93 26 4d 9441
96 87 0f 1e 9457
6f a2 44 89 9473
b0 50 a0 40 9489
41 c0 80 01 9505
36 0a 14 28 9521
02 00 01 03 9537
83 80 01 02 9553
c4 9a 35 6b 9569
44 77 ee dd 9585
3c 64 c8 90 9601
6e 79 f2 e5 9617
d8 45 8b 16 9633
ee 94 29 53 9649
66 a1 42 85 9665
2f b9 72 e4 9681
57 1c 39 72 9697
ba 3e 7c f8 9713
7d 7f fe fc 9729
6e 14 29 53 9745
09 6e dd ba 9761
7a c8 91 23 9777
c2 2d 5a b5 9793
7f a4 49 92 9809
dc 44 88 10 9825
2c 0f 1e 3d 9841
8e ef df be 9857
d3 f0 e1 c2 9873
46 c1 82 05 9889
ef 94 29 52 9905
17 b1 62 c4 9921
c5 2c 58 b1 9937
fb fe fc f9 9953
26 0c 19 33 9969
9a e8 d1 a3 9985
c9 2e 5d ba 10001
61 cd 9b 37 10017
46 77 ef de 10033
fa 48 91 23 10049
59 a8 50 a1 10065
e1 96 2d 5a 10081
27 ba 74 e9 10097
92 30 61 c3 10113
77 7c f9 f2 10129
e0 fb f6 ed 10145
90 30 60 c0 10161
5b c5 8a 14 10177
f4 27 4e 9d 10193
6f a2 44 89 10209
b8 88 10 20 10225
21 0d 1b 37 10241
25 d7 ae 5c 10257
38 08 10 20 10273
b8 3e 7d fb 10289
70 7d fb f6 10305
9c e9 d3 a6 10321
a2 e0 c1 83 10337
73 a6 4c 99 10353
69 78 f0 e1 10369
0b 6e dc b9 10385
ef f9 f2 e4 10401
ae e2 c4 88 10417
52 1d 3a 75 10433
7c 7f fe fd 10449
6e a2 44 88 10465
45 77 ee dc 10481
79 a5 4b 97 10497
ea 4e 9c 38 10513
f7 4a 94 29 10529
3d 64 c8 91 10545
12 6b d7 ae 10561
4c 19 33 66 10577
4c 19 33 66 10593
b6 3c 79 f3 10609
72 cb 97 2e 10625
fd 92 25 4a 10641
dd 29 53 a7 10657
0b d8 b1 62 10673
bc 89 13 26 10689
6f 14 29 52 10705
ba 3e 7c f8 10721
ef f9 f2 e4 10737
99 85 0b 17 10753
5e 72 e4 c8 10769
c5 f7 ee dc 10785
46 ac 59 b3 10801
aa 38 71 e3 10817
96 ea d4 a8 10833
6d 79 f3 e7 10849
73 cb 97 2f 10865
95 5c b8 71 10881
b1 50 a0 41 10897
9b e8 d1 a2 10913
01 b6 6d da 10929
a9 38 70 e1 10945
b5 3c 78 f1 10961
a7 e1 c2 84 10977
30 d0 a0 40 10993
de 29 52 a5 11009
92 eb d7 ae 11025
f2 fd fa f5 11041
57 c7 8f 1f 11057
f5 fc f8 f1 11073
ae 54 a9 53 11089
ef 94 29 52 11105
fe 49 92 25 11121
57 71 e2 c4 11137
7d 12 25 4a 11153
0a b5 6a d5 11169
f3 90 21 42 11185
32 66 cc 98 11201
72 a6 4c 98 11217
e0 fb f6 ed 11233
b9 53 a6 4c 11249
7b 13 27 4f 11265
2e d4 a9 53 11281
7e c9 92 25 11297
58 a8 50 a0 11313
2a d5 aa 55 11329
d9 28 50 a1 11345
46 1a 34 68 11361
e4 4c 98 30 11377
3f 09 12 24 11393
c6 41 82 05 11409
d3 f0 e1 c2 11425
f1 90 20 41 11441
52 c6 8c 18 11457
ad 54 a8 51 11473
5d c4 88 11 11489
b1 3d 7b f7 11505
c8 f5 eb d6 11521
c6 f7 ef de 11537
c0 40 80 00 11553
e4 fa f5 eb 11569
56 1c 39 73 11585
7c 7f fe fd 11601
cf 2f 5f bf 11617
e4 fa f5 eb 11633
bb 53 a7 4f 11649
8d 82 05 0a 11665
d5 9c 38 71 11681
47 ac 59 b2 11697
e6 97 2f 5e 11713
49 18 30 61 11729
9d 5f be 7c 11745
93 86 0c 19 11761
af e2 c4 89 11777
5f 72 e4 c9 11793
8f ef df bf 11809
73 10 21 42 11825
85 37 6e dc 11841
5b 1e 3c 79 11857
5d c4 88 11 11873
a6 57 af 5e 11889
42 1b 37 6e 11905
09 03 06 0c 11921
c7 41 82 04 11937
9e 32 64 c8 11953
25 61 c3 87 11969
48 c3 86 0d 11985
13 b0 61 c2 12001
c2 9b 37 6e 12017
eb f8 f1 e2 12033
17 dc b9 72 12049
00 00 00 00 12065
2a 0e 1c 38 12081
d0 f0 e0 c0 12097
a0 3b 76 ed 12113
c8 2e 5d bb 12129
8a ee dc b8 12145
d7 9c 39 72 12161
b5 8a 15 2a 12177
09 03 06 0c 12193
39 65 cb 97 12209
95 31 63 c7 12225
85 37 6e dc 12241
ad 54 a8 51 12257
4b 75 ea d4 12273
a2 56 ac 58 12289
96 87 0f 1e 12305
96 5c b9 73 12321
1a 68 d1 a3 12337
82 5b b7 6e 12353
22 d6 ac 58 12369
70 7d fb f6 12385
67 cc 99 32 12401
d6 47 8f 1e 12417
c7 f7 ef df 12433
bc 3f 7e fd 12449
4b c3 87 0f 12465
06 6c d9 b3 12481
4d 74 e8 d1 12497
9e 5f bf 7e 12513
1a 05 0a 15 12529
01 b6 6d da 12545
1b b3 67 cf 12561
64 a1 43 86 12577
98 5e bd 7b 12593
4b c3 87 0f 12609
56 aa 54 a8 12625
ee 22 44 88 12641
37 0a 14 29 12657
4a 75 ea d5 12673
e9 4e 9d 3a 12689
a2 3b 77 ee 12705
73 cb 97 2f 12721
3a be 7c f8 12737
15 6a d5 aa 12753
a4 e1 c3 86 12769
30 bd 7b f6 12785
04 01 03 06 12801
e6 21 42 85 12817
ae 39 72 e5 12833
5f a9 52 a4 12849
af e2 c4 89 12865
17 b1 62 c4 12881
28 63 c6 8d 12897
83 ed da b4 12913
54 1c 38 70 12929
8b 58 b1 62 12945
d0 46 8d 1b 12961
20 bb 76 ed 12977
ab 8e 1c 39 12993
49 18 30 61 13009
28 d5 ab 56 13025
97 87 0f 1f 13041
a5 57 ae 5c 13057
f8 93 26 4d 13073
cd 2f 5e bc 13089
3f 64 c9 92 13105
9f 84 09 12 13121
cc 99 33 66 13137
1d df be 7c 13153
c0 9b 36 6d 13169
47 c1 82 04 13185
4c af 5e bd 13201
74 ca 95 2b 13217
7d 7f fe fc 13233
ab e3 c7 8f 13249
cf 2f 5f bf 13265
a4 8c 18 30 13281
f8 93 26 4d 13297
8d 34 68 d1 13313
eb 23 47 8f 13329
e3 20 41 82 13345
cc 99 33 66 13361
31 0b 16 2c 13377
6c 14 28 50 13393
20 0d 1b 36 13409
d0 2b 56 ad 13425
eb 23 47 8f 13441
cb 2e 5c b9 13457
f7 27 4f 9f 13473
c1 2d 5b b7 13489
27 61 c2 84 13505
e8 4e 9d 3b 13521
cc 42 85 0b 13537
26 0c 19 33 13553
dc 29 53 a6 13569
0c d9 b3 66 13585
97 87 0f 1f 13601
81 5b b6 6c 13617
9c e9 d3 a6 13633
5a 73 e7 ce 13649
0e d9 b2 65 13665
b8 88 10 20 13681
69 15 2b 57 13697
c4 41 83 06 13713
c6 f7 ef de 13729
33 66 cc 99 13745
e2 96 2c 58 13761
0b b5 6a d4 13777
14 07 0e 1d 13793
d9 45 8b 17 13809
c2 f6 ec d8 13825
98 33 66 cd 13841
f2 4b 97 2e 13857
b8 e5 cb 96 13873
16 07 0f 1e 13889
f1 90 20 41 13905
29 0e 1d 3a 13921
1f 69 d2 a4 13937
af e2 c4 89 13953
af 8f 1f 3f 13969
25 0c 18 31 13985
b5 8a 15 2a 14001
ca f5 ea d5 14017
ca f5 ea d5 14033
45 ac 58 b1 14049
70 a6 4d 9b 14065
6f 14 29 52 14081
34 bc 78 f0 14097
b6 e7 cf 9e 14113
91 eb d6 ac 14129
39 d3 a6 4c 14145
f6 4a 94 28 14161
1e df bf 7e 14177
5c 72 e5 cb 14193
fd 49 93 27 14209
e0 20 40 80 14225
f9 25 4b 97 14241
76 7c f9 f3 14257
7c 7f fe fd 14273
61 7b f6 ec 14289
f4 27 4e 9d 14305
3d 64 c8 91 14321
57 1c 39 72 14337
21 bb 76 ec 14353
70 10 20 40 14369
a0 e0 c0 80 14385
97 31 62 c4 14401
bd 3f 7e fc 14417
7b 7e fc f9 14433
10 6b d6 ad 14449
8a 83 07 0e 14465
43 ad 5a b4 14481
f1 26 4d 9a 14497
5d c4 88 11 14513
84 37 6e dd 14529
a0 56 ad 5b 14545
61 a0 40 81 14561
3e bf 7f fe 14577
76 11 22 45 14593
79 c8 90 21 14609
2d 62 c5 8a 14625
a3 3b 77 ef 14641
53 ab 57 af 14657
0e 02 04 08 14673
dc f2 e5 cb 14689
03 6d da b4 14705
15 b1 63 c7 14721
b7 8a 14 29 14737
40 c0 80 00 14753
21 bb 76 ec 14769
cb 2e 5c b9 14785
f8 48 90 20 14801
2d 62 c5 8a 14817
70 7d fb f6 14833
8c 82 05 0b 14849
04 b7 6e dd 14865
db f3 e7 cf 14881
4e 74 e9 d3 14897
25 ba 75 ea 14913
da 45 8a 15 14929
db 28 51 a2 14945
96 ea d4 a8 14961
6f cf 9f 3f 14977
f6 fc f9 f3 14993
7b a5 4a 94 15009
b2 e6 cc 98 15025
86 5a b4 68 15041
d8 f3 e6 cd 15057
f8 48 90 20 15073
2f b9 72 e4 15089
f7 27 4f 9f 15105
26 0c 19 33 15121
bb e5 ca 94 15137
9a e8 d1 a3 15153
d0 9d 3b 76 15169
ca 2e 5c b8 15185
1e b2 64 c8 15201
de 44 89 13 15217
23 60 c1 82 15233
21 0d 1b 37 15249
49 75 eb d7 15265
b7 51 a2 44 15281
2d d4 a8 51 15297
82 80 01 03 15313
c0 f6 ed db 15329
8c ef de bd 15345
a9 e3 c6 8c 15361
00 6d db b6 15377
94 31 63 c6 15393
5c a9 53 a6 15409
66 17 2f 5e 15425
d6 47 8f 1e 15441
82 36 6c d8 15457
69 78 f0 e1 15473
22 bb 77 ee 15489
a6 3a 74 e8 15505
2a 0e 1c 38 15521
a7 8c 19 32 15537
78 7e fd fb 15553
41 ad 5b b7 15569
1b de bc 79 15585
b6 8a 14 28 15601
ef 94 29 52 15617
a8 55 ab 56 15633
f0 26 4d 9b 15649
9f 5f bf 7f 15665
8c 82 05 0b 15681
7c c9 93 26 15697
cc 42 85 0b 15713
82 ed da b5 15729
99 5e bd 7a 15745
3e 64 c9 93 15761
d0 46 8d 1b 15777
1e 69 d2 a5 15793
ec f9 f3 e6 15809
ee 22 44 88 15825
1c 69 d3 a6 15841
86 37 6f de 15857
56 aa 54 a8 15873
9e 5f bf 7e 15889
8c ef de bd 15905
e7 97 2f 5f 15921
d8 45 8b 16 15937
83 80 01 02 15953
22 60 c1 83 15969
68 a3 46 8d 15985
a1 56 ad 5a 16001
66 a1 42 85 16017
79 a5 4b 97 16033
6b ce 9c 39 16049
52 c6 8c 18 16065
96 5c b9 73 16081
b1 8b 16 2c 16097
09 03 06 0c 16113
a0 8d 1b 36 16129
34 d1 a3 46 16145
9e 84 09 13 16161
fb fe fc f9 16177
d3 9d 3a 74 16193
59 73 e6 cc 16209
64 7a f5 eb 16225
8e 59 b2 65 16241
7d c9 93 27 16257
74 11 23 46 16273
63 a0 41 82 16289
6e 79 f2 e5 16305
98 5e bd 7b 16321
6b 15 2a 54 16337
a4 57 ae 5d 16353
57 c7 8f 1f 16369
46 c1 82 05 16385
7b 13 27 4f 16401
f3 fd fa f4 16417
22 0d 1a 35 16433
00 6d db b6 16449
08 03 06 0d 16465
38 08 10 20 16481
e9 95 2b 57 16497
d3 46 8c 19 16513
a8 8e 1d 3b 16529
f5 fc f8 f1 16545
88 58 b0 60 16561
eb 95 2a 54 16577
b7 8a 14 29 16593
2f 62 c4 89 16609
57 71 e2 c4 16625
c2 9b 37 6e 16641
fc 92 25 4b 16657
17 6a d4 a9 16673
61 7b f6 ec 16689
03 00 01 02 16705
e0 20 40 80 16721
52 ab 57 ae 16737
19 b3 66 cc 16753
a4 57 ae 5d 16769
10 6b d6 ad 16785
97 ea d4 a9 16801
f6 4a 94 28 16817
cf f4 e9 d2 16833
6f a2 44 89 16849
a9 e3 c6 8c 16865
7d a4 48 91 16881
b8 e5 cb 96 16897
c6 2c 59 b3 16913
16 dc b9 73 16929
04 01 03 06 16945
bf e4 c9 92 16961
ce 99 32 65 16977
4f 74 e9 d2 16993
e3 4d 9a 34 17009
88 83 06 0d 17025
60 a0 40 80 17041
7b 13 27 4f 17057
28 0e 1d 3b 17073
1e 04 09 13 17089
51 1d 3b 77 17105
34 67 ce 9d 17121
08 6e dd bb 17137
0f d9 b2 64 17153
9f 84 09 12 17169
a5 57 ae 5c 17185
cd f4 e8 d1 17201
d1 9d 3b 77 17217
f3 4b 97 2f 17233
d9 28 50 a1 17249
80 5b b6 6d 17265
bc 89 13 26 17281
16 07 0f 1e 17297
08 b5 6b d6 17313
37 67 cf 9f 17329
bc 3f 7e fd 17345
f4 91 23 46 17361
